Sentence,Event
booker plc ltbokll 1986 year shr 2789p vs 2424p div 90p vs 775p making 1375p vs 120p turnover 126 billion stg vs 119 billion pretax profit 546 mln vs 465 mln tax 165 mln vs 135 mln interest paid 22 mln vs 24 mln minority interests 23 mln debit vs same extraordinary items 423 mln profit vs 54 mln loss pretax profit includes agribusiness 283 mln vs 225 mln health products 65 mln vs 54 mln wholesale food distribution 83 mln vs 73 mln retail food distribution 42 mln vs 59 mln uk 287 mln vs 272 mln us 211 mln vs 161 mln,earnings
the central bank last night raised the requirement by one percentage point to 19 pct from march 13 saying that excess liquidity threatened money supply and inflation targets,rate_change
develle said paribas expected inflation to rise even more than the governments revised forecast perhaps to 26 or 27 per cent this year against last years 21 per cent,rate_change
us trust corp ltustco 1st qtr net shr primary 88 cts vs 83 cts shr diluted 84 cts vs 78 cts net 8869000 vs 8176000 avg assets 262 billion vs 242 billion deposits 206 billion vs 180 billion,general
cable and wireless details merger of hk,merger
our policy is that we do not comment on any rumors or speculation of this nature a federated spokeswoman said,rate_change
however some economists said the fed may arrange more aggressive system repurchase agreements,rate_change
many times widening of the margin between the two would implicate we have to buy or sell large amounts of a third currency central bank vicedirector janhendrik du marchie sarvaas said,rate_change
revenue has been adversely affected by depressed commodity prices and slowing of the economy,earnings
skorea to buy more cotton especially us cotton south korea plans to import about 387000 tonnes of cotton this year compared to 225000 tonnes in 1986 trade ministry officials said,general
officials said that after the success of the privatisation of cie de saint gobain ltsgeppa and cie financiere de paribas ltparipa the government had decided to speed up its fiveyear privatisation program with the aim of completing a third of it this year ahead of the presidential elections expected in 1988,general
ltconcorde ventures inc in merger agreement concorde ventures inc said it has signed a letter of intent to acquire englewood colo homebuilder winley inc for 12 mln common shares,merger
senior engineering makes 125 mln dlr us purchase ltsenior engineering group plc said it reached agreement with ltcronus industries inc to acquire the whole share capital of ltsouth western engineering co for 125 mln dlrs cash,merger
attractive interest rates offered by domestic banks to compete for time deposits of more than 600 mln yen has underpinned shortterm rates they said,rate_change
revenues from telephone operations rose eight pct to 29 billion dlrs,earnings
supermarkets general corp ltsgl 4th qtr jan 31 oper shr 50 cts vs 52 cts oper net 192 mln vs 188 mln sales 143 billion vs 130 billion avg shrs 386 mln vs 360 mln year oper shr 165 dlrs vs 173 dlrs oper net 627 mln vs 618 mln sales 551 billion vs 496 billion avg shrs 381 mln vs 358 mln notes sales are from continuing operations operating net excludes results from discontinued operations of nil vs profit 2815000 dlrs or eight cts a share in quarter and loss 308000 dlrs or one cent a share vs profit 1880000 dlrs or five cts a share in year latest year operating net also excludes loss of 1536000 dlrs or four cts a share on disposal of discontinued department store segment share data adjusted to reflect twoforone stock split paid to holders of record august 1 1986 operating net includes pretax lifo credit 700000 dlrs vs credit 20 mln dlrs in quarter and charge 28 mln dlrs vs charge 49 mln dlrs in year,earnings
sunter begins tender for allegheny ltag allegheny international inc said sunter acquisititon corp formed by first boston inc began a cash tender offer in accordance with their previously announced merger agreement for all the outsanding shares of alleghenys common stock 219 dlr cumulative preference stock and 1125 dlrs convertible preferred stock,merger
bank of spain suspends assistance the bank of spain suspended its daily money market assistance obliging borrowers to take funds from the second window where on wednesday rates were raised to 16 pct compared with 14 pct for normal overnight funds,rate_change
we believe there has been wise leadership here and the economy is being very well managed conable told reporters at jakarta airport,general
hinrichs said the 1986 turnover increase had brought the first hesitant signs of improvement in earnings in the west german retail sector,earnings
earlier this month the group said that tentative merger talks with the high street pharmacist ltunderwoods plc had been called off and recently announced a 192 mln stg recommended offer for ltcharlie browns car part centres plc,merger
they said even if gaf raises its offer and does not succeed a higher bid from another company would give gaf millions of dollars in profits on its stock,earnings
ccf reports 348 pct profit boost share split seen credit commercial de france ltccfppa reported a parent company net profit up 348 pct to 1401 mln francs from 1039 mln francs a few weeks before its denationalisation around the end of this month,earnings
new zealand budget forecast seen as positive analysts said they were surprised at the governments announcement of a forecast budget surplus for fiscal 1988 but said it was consistent with previous policy statements and positive for the economy,general
cyclops ltcyl says dixons appointees resign cyclops corp said the three members of its board appointed last week by ltdixons group plc had resigned and that it named three cyclops executives to replace them,general
rospatch ltrpch to respond to diagnostic ltdrs rospatch corp said it will have a news release later in response to todays acquisition bid by diagnostic retrieval systems inc for 22 dlrs a share,merger
freedom savings ltfrdm may seek sale or merger freedom savings and loan association said it may seek a possible sale or merger of the association as it reported a net loss of 1127 mln dlrs or 3109 dlrs a share for 1986,merger
for 1986 atts earnings dropped to 139 mln dlrs or five cts a share on revenues of 341 billion dlrs from 156 billion dlrs or 137 dlrs a share on revenues of 344 billion dlrs in 1985,earnings
glen nelson executive vice president for medtronics said the company intends to diversify internally and through acquisitions of companies in areas of medtronics expertise such as drug delivery systems,merger
data card ltdatc sees lower yearend results data card corp said it does not expect to meet its earnings and revenue targets for the fiscal year ending march 28,earnings
the transportation department on friday rejected twas application to acquire usair on the grounds that the application failed to comply with department regulations by omitting necessary information,merger
grassleys bill stems from a 1985 decision by the international trade commission that imports from canada of live swine but not fresh chilled and frozen pork were harming us producers,general
fed arranges threeday system repos the federal reserve entered the government securities market to arrange threeday system repurchase agreements a spokesman for the new york fed said,rate_change
pharmacia ab ltphab st 1986 year sales 365 billion crowns vs 340 billion,earnings
whitehall corp ltwht 4th qtr net shr 15 cts vs 55 cts net 557000 vs 2020000 revs 8872000 vs 13908000 year shr 60 cts vs 252 dlrs net 2198000 vs 9313000 revs 369 mln vs 557 mln,general
he also told a news conference morgan had received informal approaches about a takeover of the group but was not interested,merger
invitron corp ltinvno 1st qtr sept 30 net shr eight cts vs 12 cts net 1016552 vs 980834 revs 6786579 vs 4356561 note invitron went public on october seven,general
under the new budget georgia power said its share amounts to 387 billion dlrs,general
net profit rose to 185 billion lire from 448 mln lire in 1985,earnings
in particular shortterm prime interest rates which had gone over 40 pct in 1985 are now down to less than 10 pct he said,rate_change
nalco chemical corp ltnlc 3rd qtr net shr 51 cts vs 42 cts net 203 mln vs 167 mln sales 2169 mln vs 1845 mln nine mths shr 147 dlrs vs 121 dlrs net 582 mln vs 476 mln sales 6112 mln vs 5470 mln,earnings
asked about press reports that ferruzzi might follow up the european sugar flotation with the sale of 49 pct of the cpc business gardini said we do not exclude having minority partners in the cpc business,general
they said traders expected riyal deposits to follow the recent strong rise in eurodollar rates sparked by fears of a tighter us monetary policy to halt the dollars slide,rate_change
it said twa week filed a cursory application with the department of transportation for approval of its proposed 165 billion dlr takeover of usair,merger
hanson said that promptly following the filing of the certificate of merger kaiser cement common shares will be delisted from the new york stock exchange,merger
iroquois said that based upon the defenses it will assert it does not believe that any charge against income is required as a result of the claim,earnings
analysts generally average the sales results of march and april to account for the variation of easters occurance,earnings
he told a news conference yesterdays meeting agreed on the need for closer coordination among ems member governments of interest rate policies and of interest rate differentials between different countries,rate_change
the frenzy and disruption created by merger mania is particularly distressing,merger
swedish current account deficit rises in january swedens balance of payments on current account showed a deficit of 500 mln crowns in january after a shortfall of 100 mln in december central bank figures showed,rate_change
the commerzbank statement added the distributable profit last year rose to 2282 mln marks from 1617 mln in 1985,earnings
lloyds bank canada 1st qtr profit rises sharply lloyds bank canada a unit of ltlloyds bank international plc said net profit soared to 3053000 dlrs for the first quarter ended january 31 from 9000 dlrs a year earlier,earnings
the proposal adopted today addresses only the credit risks associated with interest rate swaps forward foreign exchange contracts and similar financial instruments,rate_change
the number of maxtor shares to be issued will be determined by the average closing price of maxtor stock over the 10 trading day period prior to the day the acquisition becomes effective the companies also said,merger
under the proposed sale the companies said aloha would acquire the entire princeville airways commuter operation and access to the princeville airport on the island of kauai,merger
the companys sales totaled 67 billion dlrs last year,earnings
pdvsa to sign champlin refinery deal march 17 petroleos de venezuela sa said it will sign a contract march 17 to buy a half interest in a corpus christi texas refinery and related operations,general
in the year ago period the company earned 534 mln dlrs or 365 dlrs a share on sales of 4028 mln dlrs,earnings
gencorp ltgy fixes rights separation date gencorp inc said that because it is continuing to evaluate general acquisition incs tender offer it has fixed april 3 subject to further extension as the date the rights to purchase preferred shares will trade separately from the common stock as a result of the tender offer,merger
in order to get the dividend for these rights a southmark shareholder must own common stock on the exdividend date april 27 the company said,general
oak hill sportswear corp ltohsc 4th qtr net shr 27 cts vs 28 cts net 1026000 vs 1025000 sales 278 mln vs 254 mln year shr 95 cts vs 16 cts net 3682000 vs 598000 sales 1021 mln vs 1004 mln avg shrs 3858000 vs 3700000,earnings
earlier britoil posted a drop in pretax profit for 1986 to 134 mln stg from 759 mln in 1985 before an extraordinary charge of 50 mln stg on the companys us assets,earnings
opec defending 18 dlr price subroto says indonesian energy minister subroto said opec is deliberately under its production ceiling of 158 mln barrels to defend its 18 dlr a barrel price target,general
the requirement to deposit with the central bank has also meant brazilian banks have been able to negotiate lower interestrate spreads because foreign banks would rather accept a reduced margin than see their money deposited with the central bank,rate_change
previously the fed jan 8 proposed a series of guidelines for calculating the risk of other offbalancesheet activities that banks would be required to take into account in calculating the minimum financial cushion they would need to maintain,rate_change
despite the recent announcement of the suspension of interest payments by brazil virtually all of the banks loans to this country were income producing up to january 31 1987 and there was little adverse impact on the banks earnings prior to the announcement commerce bank said,earnings
goodyear tire ltgt details 1986 tax refund goodyear tire and rubber co said its 1986 results include a tax refund of 757 mln dlrs from the costs of restructuring the company in a successful defense against a takeover attempt by james goldsmith,merger
wells fargo and co ltwfc 3rd qtr net shr profit 277 dlrs vs profit 135 dlrs net 1550 mln vs 774 mln nine mths shr loss 143 dlrs vs profit 366 dlrs net loss 604 mln vs profit 1952 mln assets 4515 billion vs 4269 billion loans 3633 billion vs 3446 billion deposits 297 billion vs 233 billion,earnings
the commercial rand used for current account transactions rose 05 cts to 49 us cts while the financial rand jumped nearly two cts to 33 us cts,general
yeutter says budget cut key to better us trade a reduction of the us federal budget deficit will be needed to help eliminate the nations huge trade deficit us trade representative clayton yeutter said,rate_change
officials at purolator could not immediately be reached for comment on the offer which was released several hours after the stock market had closed,general
metro funding shareholders approve merger ltmetro funding corp said its shareholders approved its merger into ltmaxcom corp and its change of incorporation from nevada to delaware,merger
at the same time he said the region experienced a greater rise in per capita income and lower unemployment than the rest of the united states and california,earnings
unadjusted annual inflation for the seven leading industrialised nations in january was running at 44 pct in italy 39 pct in britain and canada three pct in france 14 pct in the us minus 08 pct in west germany and minus 15 pct in japan the oecd said,rate_change
for some time fundamentals have led the market to push for a one point cut in base lending rates to 10 pct but the central bank has declined to follow wholesale money market rates down,rate_change
rbi said under the new rule 16 other products will qualify on a discretionary basis for overseas promotional spending of not more than two pct of the freightonboard value of annual export earnings,earnings
fleet financial group ltflt 1st qtr net shr primary 73 cts vs 60 cts shr diluted 70 cts vs 58 cts net 38528000 vs 31680000 avg shares 52087634 vs 51294652 note qtr net interest income is 1307 mln dlrs vs 1148 mln dlrs,earnings
the dot late today dismissed twas application to acquire usair,merger
fees from trust and other banking services rose to 1465 mln dlrs from 1293 mln a year earlier chemical said,general
accordingly it said it filed a registration statement with the securities and exchange commission for a proposed offering of three mln shares of its class a nonvoting common stock which reflects the anticipated dividend,general
our plans were to finalize the merger at midnight tonight delta spokesman bill berry told the atlanta constitution late last night,merger
although there have recently been signs of inflation picking up he said that this was due to changes in key commodity prices,rate_change
german government needs seen raising bond yields increased federal government borrowing needs and a growing unwillingness by foreign investors to buy mark assets could push yields in german public authority bonds higher this year bond market sources say,rate_change
saudi british slashed 1985 profit 91 pct to just 91 mln riyals and 1986 accounts due soon are expected to show another low figure,earnings
the move follows a similar cut to 92 from 108 dlrs a tonne announced by shell uk ltd friday also fob north sea terminals and effective june 1 until further notice,general
us commercial paper falls 127 billion dlrs in feb 25 week fed says us commercial paper falls 127 billion dlrs in feb 25 week fed says,rate_change
valley federal ltvfed splits stock twoforone valley federal savings and loan association said its board declared a twoforone stock split for its common stock,rate_change
the acquisition follows the exxon withdrawal from south africa announced last december,merger
scheringplough ltsgp mulls dr scholls sale scheringplough corp said it is considering the sale of its dr scholls businesses in europe latin america and the far east which had sales of about 150 mln dlrs in 1986,earnings
as much as 30 pct of us oil imports in 1995 could come from opec nations he said,general
humana lthum declares shareholders rights plan humana inc said its board approved a shareholder rights plan or socalled poison pill plan to ensure its shareholders receive fair treatment in the event of a proposed takeover,merger
the increase followed a revised 02 pct rise in personal income during january,earnings
a spokesman said the company is considering the sale or spinoff of the 91company owned additional restaurants which are profitable,earnings
analysts said borgwarners chemical business would add earnings momentum to gaf,earnings
zinn and his firm which disclosed they hold a 51 pct stake in crazy eddie common stock said they may acquire more shares through a negotiated merger or tender offer,merger
one dealer said the central bank bought about 200 mln dlrs through brokers and the rest through banks,rate_change
babcock international plc ltbabkl year 1986 div 47p making 87 an increase of 139 pct shr 163p vs 179p adjusted pretax profit 3709 mln stg vs 3455 mln net 2212 mln vs 2413 mln interest payable 810 mln vs 535 mln share of associated cos 688 mln vs 542 mln turnover 122 billion stg vs 110 billion,earnings
options which meet herringtons criteria include loanprice guarantees to shield banks from defaults by borrowers because of lower oil prices,general
fremont general corp ltfrmi 4th qtr oper net oper shr profit 63 cts vs loss 115 dlrs oper net profit 6629000 vs loss 124 mln revs 236 mln vs 224 mln year oper shr profit 165 dlrs vs loss 128 dlrs oper net profit 175 mln vs loss 138 mln revs 931 mln vs 868 mln note oper data does not include loss from discontinued operations of 7932000 dlrs or 73 cts per shr in 4th qtr 1985 loss of 405 mln dlrs or 383 dlrs per shr in the 1986 year or gain of 1043 mln dlrs or 968 dlrs per shr in 1985,earnings
circle expressltcexxo ends overlandltovero buy circle express inc said negotiations on its proposed acquisitions of overland express inc and privatelyheld continental training services inc have been terminated by mutual agreement,merger
first federal said subject to certain adjustments including first federals earnings prior to the close of the deal each share of its common stock shall not be converted into less than 29 shares or more than 35 shares of bankeast common,earnings
ncnb ltncb to merge with centrabank ncnb corp said the board of governors of the federal reserve system approved its application to merge with centrabank inc of baltimore expected to be completed july 1,rate_change
colonial bancgroup ltclbga buys farmers colonial bancgroup said it acquired farmers and merchants bank a baldwin county bank with assets of 103 mln dlrs through an exchange of stock valued at about 12 mln dlrs,merger
rainbow has said the merger is soundly based,merger
clayton and dubilier is a new yorkbased private investment firm which has completed two other managementled buyout transactions since december 1986,merger
iceland needs to try harder to implement its new economic strategy if any more progress is to be made towards sustained and balanced noninflationary growth the oecd said,rate_change
frontier ltfrtro buys malpractice business frontier insurance group inc said it acquired the malpractice book of business generated by medical quadrangle inc and medical professional liability agency ltd a producer of medical malpractice coverage,merger
storage dimensions is the creator or speedstor software a utility program that integrates highcapacity disk drives into pcs,rate_change
trans world airlines makes 52 dlrshare cash merger proposal for usair trans world airlines makes 52 dlrshare cash merger proposal for usair,merger
elders extends offer for carling okeefe ltckb ltelders ixl ltd of australia said wholly owned ixl holdings canada inc extended its previously announced offer to acquire all outstanding shares of carling okeefe ltd to midnight april 23 1987 from march 25,merger
he said the ec needed a set of indicators of economic convergence betwen community countries and it was important that interest rates fulfilled this role together with exchange rates and inflation rates,rate_change
second half sales are expected to be stronger based on a return to a more traditional seasonal shipping pattern in which retailers order and stock conservatively early in the year and time large shipments for the second half it said,earnings
gillette has been the topic of takeover speculation for several weeks,merger
combining the latest data with a 06 pct drop in november and a 46 pct gain in december the average retail sales gain over the four months was 02 pct he said compared to to a 04 pct rise for yearoveryear sales through february,earnings
he attributed the poor performance of brazils trade balance in 1986 to protectionist moves by industrialised countries the fall in the prices of basic goods and the crisis faced by several of brazils third world trade partners,general
the company had said in december that it had been interested in acquiring corning natural gas,general
the department of transportation had asked parties to submit statements by june 17 either supporting or opposing the acquisition,merger
the number of new nonfarm jobs rose by 337000 in february after a 319000 gain in january and a 225000 december increase the government said,general
he estimates blocks fiscal 1987 earnings at 275 to 280 dlrs,earnings
the institute said this in turn was bound to lead eventually to a rise in worldwide inflation and a shift in us policy towards a more restrictive policy,rate_change
erie lackawanna inc lterieo 3rd qtr net shr 132 dlrs vs 159 dlrs net 1217649 vs 1471824 total income 1896018 vs 2278642 nine mths shr 492 dlrs vs 538 dlrs net 4553380 vs 4979626 total income 6918266 vs 8134313,earnings
the directors of baker immediately after receiving the counter proposal filed a law suit in texas in a texas state court to force to hughes to complete the merger,merger
fleets acquisition of norstar is now expected to be completed around july 1 1988 when a change in laws in fleets home state of rhode island allowing interstate banking outside new england will go into effect,merger
flowers industries ltflo sees lower year net flowers industries inc said it expects lower earnings for the current year due to operating losses incurred by recent acquisitions and possible nonrecurring losses resulting from its restructuring efforts,earnings
i think well still be able to get a reasonable trade bill out in spite of that because the whole congress is trying to work together with the administration but there is a hardening trade attitude he said,general
commonwealty realty ltcrtyz bay ltbay end talks commonwealth realty trust said preliminary merger talks with bay financial corp have been terminated due to a failure to agree on terms,merger
he said taxdate pressures have been pushing up fed funds lately,rate_change
borden said the four companies are expected to have 1987 sales totaling 230 mln dlrs,earnings
earlier today armand guilbaud president of totals refining and distribution subsidiary cie de raffinagedistribution crd total france ltraffpa told journalists that 1986 had marked a return to profit for the subsidiary before stock depreciation,earnings
in the fiscal 1986 fourth quarter the food processor reported earnings of 40 cts a share,earnings
under the bill any difference between canadian prices and us or world market prices would constitute a subsidy he said,general
malaysian growers said they would try to expand sales in asia and the united states if malaysian cocoa was not suitable for european tastes,earnings
the bass group said it had talks with other taft stockholders and members of taft management about participating in a group to acquire control,merger
dumez 70 pct owned by dumez sa ltdumppa and 30 pct by unicorp canada corp ltuniato said the 478125 shares represent 816 pct of those not controlled by westburne international ltd which dumez previously acquired in a tender,merger
penney said it will establish an independent merchandising and marketing organization to manage and support the shops which will be staffed by personnel both from within and outside the company,rate_change
it said prior results were not comparable due to the companys november 1986 acquisition of a 57 pct stake in continuous colour coat ltd,merger
fed funds were trading at 634 pct close to yesterdays 681 pct average,rate_change
tonkas first quarter shipments will be down somewhat from 1986 record levels and gross profit margins will be down slightly from a year ago it said,earnings
includes provision for store closing costs and unproductive inventory of 1000000 for 1986 qtr and 251 mln for qtr prior,general
the average effective interest rate on all loans closed by major mortgage lenders declined nine basis points from early february to early march the agency said,rate_change
new crop sales were also light and all to open ports with junejuly going at 1850 and 1880 dlrs and at 35 and 45 dlrs under new york july augsept at 1870 1875 and 1880 dlrs per tonne fob,earnings
the yens climb has lost exporters sales and profits in the huge american market,earnings
this has resulted in a hardening of freight rates in those areas,rate_change
dow jones and co inc ltdj 1st qtr net shr 69 cts vs 64 cts net 66719000 vs 61773000 rev 2856 mln vs 2597 mln note earnings include aftertax gain of 294 mln dlrs or 30 cts a share versus aftertax gain of 314 mln dlrs or 32 cts a share for 1986 first quarter,earnings
laser ltlser sees impact from suit on earnings laser corp said that costs associated with its defense of two shareholder lawsuits could result in a net loss for 1987,earnings
in august they disclosed in a securities and exchange commission filing that they had acquired 854900 shares or 79 pct of allegheny and would consideer seeking control of the company,merger
uae trade current account surpluses narrow the united arab emirates uae recorded a 1986 trade surplus of 122 billion dirhams narrowing from 302 billion in 1985 the central banks latest bulletin shows,rate_change
willing to cooperate to stabilize exchange rates,rate_change
officials from the meat export federation told reuters that they do not expect a complete lifting of the quota but that they hope for at least a gradual increase in the quota,rate_change
nestle to acquire nabisco canada businesses swissbased ltnestle sas nestle enterprises ltd unit said it signed a letter of intent to acquire ltnabisco brands ltds club melrose dickson and chase and sanborn businesses for undisclosed terms,merger
this acquisition will give it all rights to proprietary solid and liquid ink technologies which had been developed by a joint venture operated by it and exxon corp ltxon dataproducts said,merger
tranzonic cos lttnz 4th qtr feb 28 net shr 54 cts vs 24 cts net 633300 vs 300859 sales 152 mln vs 130 mln avg shrs 1165047 vs 1224982 year shr two dlrs vs 164 dlrs net 2379400 vs 2011924 sales 586 mln vs 540 mln avg shrs 1187828 vs 1223511,earnings
utilicorp ltucu completes acquisition utilicorp united inc said it completed the acquisition of west virginia power from dominion resources for about 21 mln dlrs,merger
i am concerned that we have gotten so nervous about exchange rates seger said,rate_change
for instance the us reliance on foreign capital to fund its deficits requires interest rates there be set at high levels but domestic considerations call for low ones,rate_change
haerri said despite the losses the companys liquidity was strong,general
louisiana land said blocks q4a e12c and e15b were offered to the group in which conoco has a 675 pct interest louisiana land 20 pct and orangenassau 125 pct while this group along with a consortium headed by pennzoil co ltpzl were offered block q5c,general
german gnp figures publication delayed figures for first quarter 1987 west german gnp will be published on june 11 after they were provisionally scheduled for june 4 an official at the federal statistics office said,rate_change
production in 198586 is projected at 10000 mln tonnes vs 9999 mln tonnes last month,general
quest biotechnology ltqbio unit in merger pact quest biotechnology inc said its new subsidiary quest blood substitute inc signed the agreement and plan of merger with hunt research corp and its affiliate icas corp,merger
the dollar was being quoted at 6095070 francs in early afternoon dealings after a fix of 609425 francs,general
two of the three other major trading banks now have prime rates of 18 pct and one of 1825,rate_change
the acquisition was made through bps whollyowned subsidiary ltbp america inc,merger
santos said the bid values tmoc at 2485 mln dlrs,general
yeutter blasts proposed ec oils and fats tax us trade representative clayton yeutter today said that if the european communitys council of ministers approves a tax on vegetable oils and fats another major transatlantic trade row will erupt over agriculture,general
hughes supply inc lthug 4th qtr net shr 52 cts vs 49 cts shr diluted 195 dlrs vs 199 dlrs net 1751609 vs 1622503 sales 859 mln vs 851 mln year shr 210 dlrs vs 199 dlrs shr diluted 195 dlrs vs 199 dlrs net 6822493 vs 6601717 sales 3478 mln vs 3246 mln,earnings
babcock expects further progress in 1987 babcock international plc ltbabkl said in a statement accompanying final results for 1986 showing pretax profits up to 3709 mln stg from 3455 mln in 1985 that overall further progress is expected in 1987,earnings
us bancorp ltusbco has acquisition approval us bancorp oregon said it has been advised orally that its application for the acquisition of old national bancorp has been approved by the board of governors of the federal reserve,merger
analyst theodore semegran of shearson said he raised his earnings estimates for the company to 725 dlrs a share in 1987 and eight dlrs a share in 1988,earnings
the fawc says this would help reduce the spread of salmonella,general
amc said its board has retained independent investment and legal advisers and expects to meet periodically over the next several weeks on the proposal,general
the result has been higher imports of sugarcontaining products and a flight of us processing facilities overseas to take advantage of cheaper sugar,general
shr loss six cts vs profit one ct net loss 536000 vs profit 166000 revs 2099000 vs 3149000 avg shrs 10429000 vs 9943000 nine mths shre loss nine cts vs loss five cts net loss 790000 vs loss 377000 revs 7089000 vs 7646000 avg shrs 10406000 vs 9351000 note full name newport pharmaceuticals international inc,earnings
your propaganda and missstatements will not panic our board,general
it is quite clear that the fed is not firming policy at this time said larry leuzzi of sg warburg and co inc,rate_change
sonesta international hotels corp ltsnst 4th qtr shr profit 26 cts vs loss 86 cts oper net profit 780000 vs loss 2609000 revs 122 mln vs 171 mln year oper shr profit 528 dlrs vs loss 111 dlrs oper net profit 161 mln vs loss 3311000 revs 649 mln vs 698 mln note 1986 year net excludes 598000 dlr tax credit,earnings
csr declares pioneer sugar bid unconditional csr ltd ltcsras said it had declared unconditional its takeover bid for ltpioneer sugar mills ltd following pioneers recommendation that shareholders accept,merger
this should cut the global oversupply to 850 tonnes from last years provisional 1100 tonnes,general
the estimate came in mts acquisitions proxy statement to caesars world shareholders describing its offer of 28 dlrs a share for their stock which was announced this morning,merger
the tariff cuts of between five and 30 percentage points take effect on july 1,general
such provisions which typically allow for the issue of securities to shareholders in the event of a hostile takeover bid are aimed at deterring takeovers by making them more expensive,merger
it said b and d is a private company headquartered in kansas and had sales of 4700000 dlrs in 1986,earnings
some experts worry the central banks have lost more than just a temporary battle to prop up the dollar,rate_change
new dutch special advances unchanged at 53 pct the dutch central bank announced new 12day special advances at an unchanged rate of 53 pct to cover money market tightness for the period april 3 to 15,rate_change
these ranges were set in februarys stabilisation agreement reached here by us treasury secretary james baker and the finance ministers of japan germany france britain and canada,general
they are trying to make sure that no one discounts and to prevent that it appears that saudi arabia or some other opec member will allocate some of their oil sales to help members that lose sales margoshes said,earnings
the company earlier this month said it will take a charge to earnings in the first quarter of 173 mln dlrs as a result of its deal to buy back 26 mln of its common shares from real estate developer donald trump,earnings
gartner group ltgart acquires comtec program gartner group inc said it acquired sole ownership of the comtec market research program,merger
he said demand for the issue had risen sharply of late as uk money market rates continued their steady decline and income was threatening to overshoot an unofficial three billion stg target set for fiscal 1986 ending march 31,earnings
as a result the bundesbank was concerned to make no move that would interfere in the negotiating process geipel said,general
it accepted 66 billion dlrs of bids including 21 billion dlrs from the federal reserve and 180 mln dlrs from foreign and international monetary authorities,rate_change
us senate leader calls for interest rate cuts senate finance committee chairman lloyd bentsen dtex,rate_change
caremark ltcmrko to vote baxter ltbax merger caremark inc and baxter travenol laboratories inc jointly announced that caremark shareholders will vote on july 31 to approve the previously announced merger with baxter,merger
oesterreichische laenderbank ag olbvvi 1986 parent bank net profit 1815 mln schillings vs 1351 mln parent bank balance sheet total 1977 billion vs 1822 billion parent bank cash flow 8774 mln vs 7155 mln dividend 12 pct vs 10 pct on nominal share capital of 15 billion vs 135 billion,earnings
at a drexel burnham lambert investor conference coopervision chairman parker montgomery said as previously announced he will listen to any bid that makes sense for shareholders,general
paradise fruit co inc ltparf year net shr 86 cts vs 99 cts net 435610 vs 497160 sales 166 mln vs 177 mln note 1986 year net penalized 13 cts shr from loss of investment tax credits,earnings
today 28000 employees from 110 companies came out in warning strikes a statement from ig metall said,general
corrected manhattan nationalltmlc4th qtr loss oper shr loss 20 cts vs loss 81 cts oper net loss 1042000 vs loss 4077000 revs 385 mln vs 503 mln 12 mths oper shr profit six cts vs loss 43 cts oper net profit 336000 vs loss 2176000 revs 1378 mln vs 2091 mln company corrects to show profit rather than a loss for current 12 mths oper shr and oper net,earnings
the dollar intervention was in concert with some other central banks they said,rate_change
analysts said rumors were fed by the reorganization of shearson management wednesday,rate_change
but dealers said the federal reserve bank of new york gave traders a sharp reminder that the g6 pact had encompassed the idea of limiting inordinate dollar gains as well as declines,rate_change
system software ltssaxo completes acquisition system software associates inc said it completed its previouslyannounced acquisition of admin edp pty ltd for cash and a small amount of stock,merger
the company said a definitive merger agreement is expected to be negotiated within six weeks and shareholders are expected to vote on the deal at a meeting expected to be held in june or july,merger
usda estimates canadian crops the us agriculture department estimated canadas 198687 wheat crop at 3185 mln tonnes vs 3185 mln tonnes last month,general
but if west germany raises interest rates this would run counter to the pledge he said,rate_change
usda estimates australia wheat crop the us agriculture department forecast australias 198687 wheat crop at 1670 mln tonnes vs 1730 mln tonnes last month,general
currency dealers have speculated that japan and west germany might come under pressure at next weeks venice summit to cut interest rates to boost their economies,rate_change
oreilly said heinz will concentrate on backing its big brands new products and services new geography internal growth and acquisitions,merger
the offers were made by several caesars world representatives including its chairman henry gluck he said,general
the company said the offer will be subject ot securing satisfactory financing,general
we are looking for profits from the estate agencies themselves as well as the insurance products associated with them corby said,earnings
us fed explores commodity basket index the complex task of wielding control over monetary policy in an increasingly fastmoving global economy could be aided by tying policy to commodity prices the newest member of the federal reserve board says,rate_change
brennan said sales of womens sportswear were also excellent,earnings
seaxe is involved in oil and natural gas exploration and development in the paris basin of france,general
it said the transactions together with acquisitions earlier this year will increase its annual sales by about 45 mln dlrs,earnings
aero services ltaeroe in pact for nominations aero services international inc said it signed an agreement with dibo attar who controls about 39 pct of its common stock under which three nominees to aeros board have been selected by attar,general
coupon rates on 10year certificates maturing march 1995 will fall to 980 pct from 1365 pct and rates on 10year issues maturing in march 1996 would fall to 1005 pct from 1430 pct,rate_change
montrealbased unimedia is quebecs third largest newspaper group with three french language daily newspapers in quebec city ottawa and chicoutimi quebec and four printing plants in ontario and quebec,general
the company also altered its employee retirement and stock incentive plans to assure continued protection and benefits for employees in the event of a hostile takeover,merger
the edelmandominion group last week sweetened its hostile tender offer to 77 dlrs a share after burlington agreed to a leveraged buyout by a morgan stanley and cobacked group for 76 dlrs a share,merger
general mining earlier reported that 1986 per share earnings rose 28 pct to 616 cts,earnings
brooklyn union said the gas from shell oil will replace about 25 pct of the gas previously supplied by transco energy incs lte transcontinental gas pipe line corp subsidiary,general
wall street sources have said the outcome of the case could be pivotal in determining the winner in the fierce takeover battle for burlington the largest us textile maker,merger
